Index: 0 | Real: -31.8044 | Imag: 0
Index: 1 | Real: -199.24 | Imag: -1.62047
Index: 2 | Real: -10.8965 | Imag: 340.048
Index: 3 | Real: 208.449 | Imag: -109.425
Index: 4 | Real: -256.996 | Imag: 153.173
Index: 5 | Real: 272.627 | Imag: 319.156
Index: 6 | Real: 329.833 | Imag: 70.6843
Index: 7 | Real: 334.427 | Imag: -355.841
Index: 8 | Real: -26.1436 | Imag: 32.3905
Index: 9 | Real: 96.2607 | Imag: -739.022
Index: 10 | Real: -591.728 | Imag: 663.525
Index: 11 | Real: 576.105 | Imag: -407.709
Index: 12 | Real: -266.513 | Imag: 402.376
Index: 13 | Real: 410.89 | Imag: -528.073
Index: 14 | Real: -275.967 | Imag: 156.725
Index: 15 | Real: 109.732 | Imag: -221.776
Index: 16 | Real: -51.7716 | Imag: 68.4303
Index: 17 | Real: 91.8191 | Imag: -210.177
Index: 18 | Real: -326.739 | Imag: 9.07599
Index: 19 | Real: 335.525 | Imag: 27.4261
Index: 20 | Real: -459.888 | Imag: -27.4893
Index: 21 | Real: 608.492 | Imag: 104.336
Index: 22 | Real: -328.428 | Imag: -375.8
Index: 23 | Real: 91.1164 | Imag: 105.749
Index: 24 | Real: -40.5812 | Imag: -333.021
Index: 25 | Real: -274.947 | Imag: 164.876
Index: 26 | Real: 28.1593 | Imag: -242.105
Index: 27 | Real: -159.589 | Imag: 322.231
Index: 28 | Real: -8.49834 | Imag: -218.654
Index: 29 | Real: 142.808 | Imag: 192.017
Index: 30 | Real: -169.868 | Imag: -321.418
Index: 31 | Real: -92.5894 | Imag: -16.9151
Index: 32 | Real: -370.642 | Imag: 143.887
Index: 33 | Real: 167.682 | Imag: 169.247
Index: 34 | Real: -174.755 | Imag: -25.8127
Index: 35 | Real: 31.2803 | Imag: 228.027
Index: 36 | Real: -41.9762 | Imag: 68.791
Index: 37 | Real: 202.429 | Imag: 241.82
Index: 38 | Real: 167.905 | Imag: -46.9382
Index: 39 | Real: 293.167 | Imag: -141.767
Index: 40 | Real: -296.331 | Imag: -295.6
Index: 41 | Real: 101.289 | Imag: 256.655
Index: 42 | Real: -45.9145 | Imag: -144.192
Index: 43 | Real: 243.831 | Imag: -45.1683
Index: 44 | Real: -219.728 | Imag: -202.034
Index: 45 | Real: -139.554 | Imag: -97.7331
Index: 46 | Real: 34.1981 | Imag: 330.132
Index: 47 | Real: -97.7633 | Imag: -357.78
Index: 48 | Real: 203.627 | Imag: 371.055
Index: 49 | Real: -89.2945 | Imag: -574.684
Index: 50 | Real: -276.776 | Imag: 64.6599
Index: 51 | Real: -254.463 | Imag: 102.847
Index: 52 | Real: -180.886 | Imag: 302.357
Index: 53 | Real: 470.047 | Imag: 251.295
Index: 54 | Real: -123.252 | Imag: -230.09
Index: 55 | Real: 258.382 | Imag: -12.4812
Index: 56 | Real: -320.469 | Imag: -167.678
Index: 57 | Real: 23.3928 | Imag: 255.34
Index: 58 | Real: 172.166 | Imag: -43.0528
Index: 59 | Real: 175.491 | Imag: -92.0671
Index: 60 | Real: -245.216 | Imag: -418.395
Index: 61 | Real: 57.3414 | Imag: 102.915
Index: 62 | Real: -586.798 | Imag: -342.112
Index: 63 | Real: -48.6368 | Imag: 371.159
Index: 64 | Real: -229.013 | Imag: 131.756
Index: 65 | Real: -127.311 | Imag: 65.8497
Index: 66 | Real: 158.532 | Imag: 547.048
Index: 67 | Real: -10.7916 | Imag: -243.609
Index: 68 | Real: 278.821 | Imag: 296.481
Index: 69 | Real: -218.317 | Imag: -352.083
Index: 70 | Real: -142.122 | Imag: 356.955
Index: 71 | Real: 250.991 | Imag: 272.481
Index: 72 | Real: 182.604 | Imag: -211.428
Index: 73 | Real: 81.4696 | Imag: -50.0627
Index: 74 | Real: -280.95 | Imag: -125.81
Index: 75 | Real: 100.566 | Imag: 142.607
Index: 76 | Real: -33.1014 | Imag: 178.008
Index: 77 | Real: 133.903 | Imag: -439.322
Index: 78 | Real: -292.755 | Imag: 383.105
Index: 79 | Real: -19.1794 | Imag: -219.554
Index: 80 | Real: 41.7859 | Imag: 219.484
Index: 81 | Real: -266.074 | Imag: 159.056
Index: 82 | Real: 325.736 | Imag: -276.881
Index: 83 | Real: -649.016 | Imag: 548.162
Index: 84 | Real: 414.94 | Imag: -123.597
Index: 85 | Real: -257.111 | Imag: 704.794
Index: 86 | Real: 643.752 | Imag: -219.569
Index: 87 | Real: -176.456 | Imag: 207.147
Index: 88 | Real: 404.322 | Imag: -143.339
Index: 89 | Real: -268.171 | Imag: 58.8366
Index: 90 | Real: 295.42 | Imag: 275.492
Index: 91 | Real: 389.26 | Imag: -94.1686
Index: 92 | Real: -5.42663 | Imag: -297.838
Index: 93 | Real: 127.881 | Imag: -79.8776
Index: 94 | Real: -294.728 | Imag: -100.641
Index: 95 | Real: 293.661 | Imag: -44.6537
Index: 96 | Real: -567.845 | Imag: 51.8901
Index: 97 | Real: 561.935 | Imag: 149.329
Index: 98 | Real: -428.708 | Imag: -122.521
Index: 99 | Real: 295.711 | Imag: 152.55
