Index: 0 | Real: -18.3299 | Imag: 0
Index: 1 | Real: -114.838 | Imag: -0.934005
Index: 2 | Real: -6.28103 | Imag: 196.013
Index: 3 | Real: 120.166 | Imag: -63.0807
Index: 4 | Real: -148.164 | Imag: 88.3076
Index: 5 | Real: 157.188 | Imag: 184.015
Index: 6 | Real: 190.187 | Imag: 40.7577
Index: 7 | Real: 192.852 | Imag: -205.201
Index: 8 | Real: -15.0773 | Imag: 18.68
Index: 9 | Real: 55.5192 | Imag: -426.238
Index: 10 | Real: -341.312 | Imag: 382.726
Index: 11 | Real: 332.329 | Imag: -235.189
Index: 12 | Real: -153.752 | Imag: 232.131
Index: 13 | Real: 237.063 | Imag: -304.672
Index: 14 | Real: -159.232 | Imag: 90.4298
Index: 15 | Real: 63.3201 | Imag: -127.975
Index: 16 | Real: -29.8771 | Imag: 39.4907
Index: 17 | Real: 52.9927 | Imag: -121.302
Index: 18 | Real: -188.591 | Imag: 5.23857
Index: 19 | Real: 193.678 | Imag: 15.8314
Index: 20 | Real: -265.487 | Imag: -15.8692
Index: 21 | Real: 351.304 | Imag: 60.2366
Index: 22 | Real: -189.629 | Imag: -216.981
Index: 23 | Real: 52.6136 | Imag: 61.0628
Index: 24 | Real: -23.4349 | Imag: -192.313
Index: 25 | Real: -158.79 | Imag: 95.2207
Index: 26 | Real: 16.2642 | Imag: -139.834
Index: 27 | Real: -92.183 | Imag: 186.129
Index: 28 | Real: -4.90929 | Imag: -126.311
Index: 29 | Real: 82.5035 | Imag: 110.933
Index: 30 | Real: -98.1455 | Imag: -185.707
Index: 31 | Real: -53.5003 | Imag: -9.77395
Index: 32 | Real: -214.183 | Imag: 83.1482
Index: 33 | Real: 96.9072 | Imag: 97.8117
Index: 34 | Real: -101.003 | Imag: -14.919
Index: 35 | Real: 18.0806 | Imag: 131.804
Index: 36 | Real: -24.2651 | Imag: 39.766
Index: 37 | Real: 117.028 | Imag: 139.801
Index: 38 | Real: 97.0773 | Imag: -27.1381
Index: 39 | Real: 169.514 | Imag: -81.9723
Index: 40 | Real: -171.359 | Imag: -170.936
Index: 41 | Real: 58.5773 | Imag: 148.428
Index: 42 | Real: -26.5554 | Imag: -83.3956
Index: 43 | Real: 141.036 | Imag: -26.1261
Index: 44 | Real: -127.105 | Imag: -116.87
Index: 45 | Real: -80.7341 | Imag: -56.5401
Index: 46 | Real: 19.7858 | Imag: 191.003
Index: 47 | Real: -56.5674 | Imag: -207.017
Index: 48 | Real: 117.832 | Imag: 214.717
Index: 49 | Real: -51.6761 | Imag: -332.579
Index: 50 | Real: -160.189 | Imag: 37.423
Index: 51 | Real: -147.287 | Imag: 59.5298
Index: 52 | Real: -104.709 | Imag: 175.025
Index: 53 | Real: 272.118 | Imag: 145.479
Index: 54 | Real: -71.3588 | Imag: -133.215
Index: 55 | Real: 149.608 | Imag: -7.22687
Index: 56 | Real: -185.573 | Imag: -97.0968
Index: 57 | Real: 13.5472 | Imag: 147.872
Index: 58 | Real: 99.7133 | Imag: -24.9349
Index: 59 | Real: 101.648 | Imag: -53.3272
Index: 60 | Real: -142.047 | Imag: -242.365
Index: 61 | Real: 33.2191 | Imag: 59.621
Index: 62 | Real: -339.976 | Imag: -198.211
Index: 63 | Real: -28.1813 | Imag: 215.059
Index: 64 | Real: -132.708 | Imag: 76.3492
Index: 65 | Real: -73.7804 | Imag: 38.1617
Index: 66 | Real: 91.8817 | Imag: 317.057
Index: 67 | Real: -6.25512 | Imag: -141.203
Index: 68 | Real: 161.627 | Imag: 171.864
Index: 69 | Real: -126.566 | Imag: -204.114
Index: 70 | Real: -82.3999 | Imag: 206.957
Index: 71 | Real: 145.533 | Imag: 157.994
Index: 72 | Real: 105.89 | Imag: -122.604
Index: 73 | Real: 47.2474 | Imag: -29.0333
Index: 74 | Real: -162.949 | Imag: -72.9689
Index: 75 | Real: 58.3328 | Imag: 82.7183
Index: 76 | Real: -19.2019 | Imag: 103.261
Index: 77 | Real: 77.6832 | Imag: -254.871
Index: 78 | Real: -169.856 | Imag: 222.277
Index: 79 | Real: -11.1288 | Imag: -127.397
Index: 80 | Real: 24.2485 | Imag: 127.367
Index: 81 | Real: -154.418 | Imag: 92.309
Index: 82 | Real: 189.06 | Imag: -160.704
Index: 83 | Real: -376.728 | Imag: 318.186
Index: 84 | Real: 240.878 | Imag: -71.7497
Index: 85 | Real: -149.27 | Imag: 409.178
Index: 86 | Real: 373.773 | Imag: -127.486
Index: 87 | Real: -102.463 | Imag: 120.284
Index: 88 | Real: 234.799 | Imag: -83.2404
Index: 89 | Real: -155.747 | Imag: 34.1708
Index: 90 | Real: 171.588 | Imag: 160.014
Index: 91 | Real: 226.114 | Imag: -54.7008
Index: 92 | Real: -3.15252 | Imag: -173.024
Index: 93 | Real: 74.2972 | Imag: -46.4079
Index: 94 | Real: -171.249 | Imag: -58.4765
Index: 95 | Real: 170.645 | Imag: -25.948
Index: 96 | Real: -330.001 | Imag: 30.1557
Index: 97 | Real: 326.596 | Imag: 86.7898
Index: 98 | Real: -249.188 | Imag: -71.2158
Index: 99 | Real: 171.899 | Imag: 88.6782
