Index 0: Real: -0.253706, Imag: -0.217629
Index 1: Real: -0.266013, Imag: -0.258869
Index 2: Real: -0.280396, Imag: -0.220396
Index 3: Real: -0.309894, Imag: -0.264887
Index 4: Real: -0.360371, Imag: -0.445619
Index 5: Real: -0.991028, Imag: -1.96379
Index 6: Real: -1.77664, Imag: 1.90525
Index 7: Real: -2.00193, Imag: 5.38582
Index 8: Real: -0.910246, Imag: 1.18771
Index 9: Real: -2.24923, Imag: -7.99532
Index 10: Real: 11.4895, Imag: 4.76449
Index 11: Real: 7.93209, Imag: -5.09349
Index 12: Real: 14.9055, Imag: -9.87928
Index 13: Real: -2.88594, Imag: 12.8383
Index 14: Real: -12.5704, Imag: 4.94174
Index 15: Real: 8.32513, Imag: -1.99877
Index 16: Real: -7.03502, Imag: -9.74917
Index 17: Real: -2.33001, Imag: 12.6501
Index 18: Real: -7.98045, Imag: -4.93539
Index 19: Real: 9.93653, Imag: -1.49889
Index 20: Real: -2.12966, Imag: 1.56127
Index 21: Real: 6.24278, Imag: 4.19051
Index 22: Real: -1.63945, Imag: -9.45261
Index 23: Real: -0.3968, Imag: -3.7904
Index 24: Real: 2.0458, Imag: -2.83685
Index 25: Real: 4.27853, Imag: 3.82232
Index 26: Real: 1.66344, Imag: 2.26658
Index 27: Real: 1.11213, Imag: 3.59604
Index 28: Real: -5.13132, Imag: 1.59791
Index 29: Real: -2.57093, Imag: -9.00259
Index 30: Real: -3.93533, Imag: -6.20473
Index 31: Real: 2.92021, Imag: -0.51616
Index 32: Real: -5.69396, Imag: -4.12716
Index 33: Real: 4.99052, Imag: -4.49404
Index 34: Real: -5.28491, Imag: -2.82299
Index 35: Real: 5.7394, Imag: -3.0582
Index 36: Real: -7.84425, Imag: 3.08631
Index 37: Real: 4.47822, Imag: -0.579153
Index 38: Real: -1.32593, Imag: 0.292665
Index 39: Real: -1.08475, Imag: -4.71501
Index 40: Real: -4.52641, Imag: -4.39733
Index 41: Real: -1.2741, Imag: 2.3853
Index 42: Real: -3.15924, Imag: -11.8989
Index 43: Real: 5.19268, Imag: 17.0327
Index 44: Real: -7.22303, Imag: 3.59508
Index 45: Real: -7.14143, Imag: -5.15321
Index 46: Real: 8.09227, Imag: -6.42091
Index 47: Real: -5.57186, Imag: 0.931221
Index 48: Real: 2.39908, Imag: -0.214985
Index 49: Real: -4.85079, Imag: -15.1213
Index 50: Real: -7.30055, Imag: 7.67671
Index 51: Real: 10.002, Imag: 1.62341
Index 52: Real: 0.324657, Imag: -4.19524
Index 53: Real: -7.57256, Imag: -15.182
Index 54: Real: -2.39606, Imag: -6.12697
Index 55: Real: 4.33495, Imag: 7.97641
Index 56: Real: 5.74574, Imag: 2.89619
Index 57: Real: 11.5004, Imag: -1.95861
Index 58: Real: 19.1874, Imag: 6.03704
Index 59: Real: -8.16765, Imag: -8.96914
Index 60: Real: -10.4417, Imag: -5.73344
Index 61: Real: 6.20832, Imag: -14.1369
Index 62: Real: -0.195486, Imag: -3.78686
Index 63: Real: -6.53084, Imag: -6.63181
Index 64: Real: 0.874397, Imag: 15.4707
Index 65: Real: 5.17652, Imag: -1.77562
Index 66: Real: -0.0766067, Imag: 3.33747
Index 67: Real: -8.69316, Imag: 3.09452
Index 68: Real: -7.26042, Imag: 2.1592
Index 69: Real: -1.50339, Imag: -3.62308
Index 70: Real: -0.569693, Imag: 7.46973
Index 71: Real: -4.00641, Imag: -1.52017
Index 72: Real: 1.60385, Imag: -0.0420183
Index 73: Real: 5.14891, Imag: -3.07147
Index 74: Real: 0.0949882, Imag: -7.58762
Index 75: Real: -0.742384, Imag: -1.26675
Index 76: Real: -1.15706, Imag: -1.57572
Index 77: Real: -4.62275, Imag: 1.49693
Index 78: Real: -4.35021, Imag: 3.96415
Index 79: Real: 12.3607, Imag: -2.17762
Index 80: Real: 1.90063, Imag: -5.49154
Index 81: Real: 4.89272, Imag: -10.5346
Index 82: Real: -11.7978, Imag: 11.6091
Index 83: Real: 5.79789, Imag: -5.15546
Index 84: Real: -6.16171, Imag: 13.398
Index 85: Real: -4.18504, Imag: -6.36236
Index 86: Real: -5.82686, Imag: 3.77292
Index 87: Real: 4.71008, Imag: -11.0831
Index 88: Real: 0.976388, Imag: -0.297824
Index 89: Real: -1.52857, Imag: -0.257752
Index 90: Real: 2.42275, Imag: 2.31943
Index 91: Real: 5.08544, Imag: -6.71236
Index 92: Real: -0.216597, Imag: 1.03572
Index 93: Real: 5.31141, Imag: -2.81074
Index 94: Real: -3.60366, Imag: 2.10421
Index 95: Real: -0.506745, Imag: 2.94902
Index 96: Real: -0.656073, Imag: 2.75903
Index 97: Real: -1.10902, Imag: -0.885413
Index 98: Real: -9.61105, Imag: -2.76361
Index 99: Real: -1.43123, Imag: -3.42274
