Index: 0 | Real: -34.2368 | Imag: 0
Index: 1 | Real: -939.197 | Imag: -7.63873
Index: 2 | Real: -36.4672 | Imag: 1138.03
Index: 3 | Real: 596.417 | Imag: -313.088
Index: 4 | Real: -417.819 | Imag: 249.026
Index: 5 | Real: 288.157 | Imag: 337.337
Index: 6 | Real: 330.293 | Imag: 70.7829
Index: 7 | Real: 334.427 | Imag: -355.842
Index: 8 | Real: -26.1433 | Imag: 32.3902
Index: 9 | Real: 96.2598 | Imag: -739.016
Index: 10 | Real: -591.722 | Imag: 663.519
Index: 11 | Real: 576.1 | Imag: -407.705
Index: 12 | Real: -266.51 | Imag: 402.372
Index: 13 | Real: 410.887 | Imag: -528.068
Index: 14 | Real: -275.964 | Imag: 156.723
Index: 15 | Real: 109.73 | Imag: -221.774
Index: 16 | Real: -51.7711 | Imag: 68.4297
Index: 17 | Real: 91.8182 | Imag: -210.175
Index: 18 | Real: -326.736 | Imag: 9.0759
Index: 19 | Real: 335.522 | Imag: 27.4258
Index: 20 | Real: -459.884 | Imag: -27.4891
Index: 21 | Real: 608.486 | Imag: 104.335
Index: 22 | Real: -328.425 | Imag: -375.796
Index: 23 | Real: 91.1156 | Imag: 105.748
Index: 24 | Real: -40.5808 | Imag: -333.018
Index: 25 | Real: -274.945 | Imag: 164.874
Index: 26 | Real: 28.159 | Imag: -242.102
Index: 27 | Real: -159.588 | Imag: 322.228
Index: 28 | Real: -8.49826 | Imag: -218.652
Index: 29 | Real: 142.806 | Imag: 192.015
Index: 30 | Real: -169.867 | Imag: -321.415
Index: 31 | Real: -92.5886 | Imag: -16.915
Index: 32 | Real: -370.638 | Imag: 143.886
Index: 33 | Real: 167.681 | Imag: 169.246
Index: 34 | Real: -174.754 | Imag: -25.8124
Index: 35 | Real: 31.28 | Imag: 228.024
Index: 36 | Real: -41.9758 | Imag: 68.7904
Index: 37 | Real: 202.427 | Imag: 241.818
Index: 38 | Real: 167.904 | Imag: -46.9378
Index: 39 | Real: 293.164 | Imag: -141.766
Index: 40 | Real: -296.329 | Imag: -295.597
Index: 41 | Real: 101.289 | Imag: 256.653
Index: 42 | Real: -45.9141 | Imag: -144.19
Index: 43 | Real: 243.829 | Imag: -45.1679
Index: 44 | Real: -219.726 | Imag: -202.032
Index: 45 | Real: -139.553 | Imag: -97.7322
Index: 46 | Real: 34.1978 | Imag: 330.129
Index: 47 | Real: -97.7624 | Imag: -357.777
Index: 48 | Real: 203.626 | Imag: 371.052
Index: 49 | Real: -89.2937 | Imag: -574.679
Index: 50 | Real: -276.773 | Imag: 64.6593
Index: 51 | Real: -254.461 | Imag: 102.846
Index: 52 | Real: -180.884 | Imag: 302.355
Index: 53 | Real: 470.043 | Imag: 251.293
Index: 54 | Real: -123.251 | Imag: -230.088
Index: 55 | Real: 258.379 | Imag: -12.4811
Index: 56 | Real: -320.466 | Imag: -167.676
Index: 57 | Real: 23.3926 | Imag: 255.337
Index: 58 | Real: 172.164 | Imag: -43.0524
Index: 59 | Real: 175.489 | Imag: -92.0662
Index: 60 | Real: -245.214 | Imag: -418.391
Index: 61 | Real: 57.3408 | Imag: 102.914
Index: 62 | Real: -586.793 | Imag: -342.109
Index: 63 | Real: -48.6363 | Imag: 371.155
Index: 64 | Real: -229.011 | Imag: 131.754
Index: 65 | Real: -127.31 | Imag: 65.8491
Index: 66 | Real: 158.531 | Imag: 547.043
Index: 67 | Real: -10.7915 | Imag: -243.607
Index: 68 | Real: 278.819 | Imag: 296.478
Index: 69 | Real: -218.315 | Imag: -352.08
Index: 70 | Real: -142.12 | Imag: 356.952
Index: 71 | Real: 250.989 | Imag: 272.478
Index: 72 | Real: 182.602 | Imag: -211.426
Index: 73 | Real: 81.4689 | Imag: -50.0622
Index: 74 | Real: -280.948 | Imag: -125.809
Index: 75 | Real: 100.566 | Imag: 142.606
Index: 76 | Real: -33.1011 | Imag: 178.006
Index: 77 | Real: 133.902 | Imag: -439.318
Index: 78 | Real: -292.752 | Imag: 383.102
Index: 79 | Real: -19.1792 | Imag: -219.552
Index: 80 | Real: 41.7855 | Imag: 219.482
Index: 81 | Real: -266.072 | Imag: 159.055
Index: 82 | Real: 325.733 | Imag: -276.878
Index: 83 | Real: -649.011 | Imag: 548.157
Index: 84 | Real: 414.937 | Imag: -123.596
Index: 85 | Real: -257.109 | Imag: 704.787
Index: 86 | Real: 643.746 | Imag: -219.567
Index: 87 | Real: -176.454 | Imag: 207.145
Index: 88 | Real: 404.318 | Imag: -143.338
Index: 89 | Real: -268.168 | Imag: 58.836
Index: 90 | Real: 295.417 | Imag: 275.49
Index: 91 | Real: 389.257 | Imag: -94.1677
Index: 92 | Real: -5.42658 | Imag: -297.836
Index: 93 | Real: 127.88 | Imag: -79.8769
Index: 94 | Real: -294.726 | Imag: -100.64
Index: 95 | Real: 293.659 | Imag: -44.6533
Index: 96 | Real: -567.84 | Imag: 51.8896
Index: 97 | Real: 561.929 | Imag: 149.327
Index: 98 | Real: -428.704 | Imag: -122.52
Index: 99 | Real: 295.708 | Imag: 152.548
